conversion_id,user_id,lead_date,conversion_date,lead_stage,customer_journey,product,deal_value,country,city,conversion_status
C000072,2211,2025-05-15,2025-03-22,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,12962.34,Australia,Sydney,Lost
C000073,4361,2025-07-05,2025-06-19,SQL,YouTube Ads > Website > Direct > Purchase,Analytics Suite,35560.79,USA,Delhi,Won
C000074,2029,2025-06-29,2025-07-15,Lead,Facebook Ads > Website > Direct > Purchase,,10648.43,USA,Delhi,Won
C000075,3787,2024-03-30,2024-02-17,Won,LinkedIn Ads > Demo > Purchase,Analytics Suite,21267.41,USA,Bangalore,Lost
C000076,2636,2025-08-09,2024-09-16,Lead,Instagram Ads > Website > Email > Purchase,Pro Plan,42335.02,India,Bangalore,Won
C000077,2943,2025-07-06,2025-03-09,MQL,Facebook Ads > Website > Direct > Purchase,Analytics Suite,21417.04,Germany,Bangalore,Won
C000078,1476,2024-12-11,2025-08-05,Lead,Instagram Ads > Website > Email > Purchase,Enterprise Plan,27899.38,India,Mumbai,Won
C000079,1471,2025-11-28,2025-11-12,Opportunity,YouTube Ads > Website > Direct > Purchase,Basic Plan,13167.52,India,Bangalore,Won
C000080,2192,2024-12-12,2024-02-21,Opportunity,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,43310.62,UK,Mumbai,Won
C000081,3002,2025-03-24,2024-06-08,Lead,Instagram Ads > Website > Email > Purchase,Analytics Suite,24804.28,USA,Mumbai,Won
C000082,1687,2024-02-01,2025-08-11,Lead,Instagram Ads > Website > Email > Purchase,,7093.52,India,Mumbai,Lost
C000083,4411,2024-11-22,2025-10-08,Lost,YouTube Ads > Website > Direct > Purchase,Marketing Suite,44982.11,USA,New York,Won
C000084,3150,2024-09-13,2025-02-14,Opportunity,Facebook Ads > Website > Direct > Purchase,Marketing Suite,49500.22,India,Bangalore,Lost
C000085,2595,2025-07-01,2025-04-10,MQL,YouTube Ads > Website > Direct > Purchase,Analytics Suite,42858.7,USA,,Won
C000086,3887,2025-01-07,2024-12-06,SQL,Google Ads > Website > Email > Purchase,Analytics Suite,36787.61,Germany,London,Won
C000087,1863,2025-10-02,2024-02-23,MQL,YouTube Ads > Website > Direct > Purchase,Marketing Suite,22902.59,Germany,Delhi,Won
C000088,3157,2025-09-09,2024-02-10,Won,Instagram Ads > Website > Email > Purchase,Enterprise Plan,30823.62,India,Mumbai,Won
C000089,1708,2024-10-17,2024-03-15,Opportunity,YouTube Ads > Website > Direct > Purchase,Marketing Suite,2822.22,USA,Mumbai,Won
C000090,3670,2024-06-12,2025-09-27,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,36318.0,UK,Sydney,Won
C000091,2606,2025-12-17,2024-10-31,Lost,YouTube Ads > Website > Direct > Purchase,Pro Plan,44514.68,UK,Mumbai,Won
C000092,1145,2025-12-11,2024-12-30,SQL,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,8698.97,UK,,Won
C000093,3888,2025-12-02,2025-11-14,Won,Google Ads > Website > Email > Purchase,Marketing Suite,29408.84,UK,,Won
C000094,4128,2024-08-22,2025-05-05,Lead,Google Ads > Website > Email > Purchase,Enterprise Plan,31542.74,UK,Mumbai,Won
C000095,3874,2025-06-27,2024-05-27,Lost,Instagram Ads > Website > Email > Purchase,Enterprise Plan,44620.08,Australia,Mumbai,Won
C000096,2320,2024-03-04,2024-01-31,Lead,LinkedIn Ads > Demo > Purchase,Pro Plan,31209.42,USA,New York,Won
C000097,2630,2025-10-13,2025-11-23,Opportunity,Google Ads > Website > Email > Purchase,Pro Plan,18887.04,Germany,Bangalore,Won
C000098,3138,2024-10-07,2024-11-13,Opportunity,Instagram Ads > Website > Email > Purchase,Enterprise Plan,27376.85,Australia,Bangalore,Lost
C000099,3675,2025-09-22,2024-09-16,SQL,LinkedIn Ads > Demo > Purchase,,28585.86,USA,Berlin,Won
C000100,2411,2024-01-03,2025-01-11,MQL,Instagram Ads > Website > Email > Purchase,Marketing Suite,47828.19,India,London,Won
C000101,3796,2024-09-21,2025-10-25,Opportunity,Facebook Ads > Website > Direct > Purchase,Pro Plan,40837.64,UK,Mumbai,Won
C000102,3029,2025-02-03,2025-09-15,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,9720.4,India,,Won
C000103,1247,2025-07-02,2025-09-22,Lost,Google Ads > Website > Email > Purchase,Pro Plan,28196.36,Australia,Delhi,Won
C000104,3351,2024-03-09,2025-08-28,SQL,LinkedIn Ads > Demo > Purchase,Enterprise Plan,18922.27,India,,Won
C000105,3753,2024-01-10,2025-04-29,MQL,Instagram Ads > Website > Email > Purchase,Analytics Suite,13643.82,Australia,Delhi,Won
C000106,3873,2024-01-05,2025-11-21,Won,Google Ads > Website > Email > Purchase,Marketing Suite,31349.71,Germany,Delhi,Won
C000107,3317,2025-01-02,2025-06-30,SQL,Facebook Ads > Website > Direct > Purchase,Basic Plan,27201.43,Germany,Mumbai,Lost
C000108,3089,2025-08-11,2024-09-06,Lost,Instagram Ads > Website > Email > Purchase,Pro Plan,35635.45,India,Sydney,Won
C000109,2094,2024-08-05,2025-09-24,Lost,YouTube Ads > Website > Direct > Purchase,Pro Plan,15264.74,USA,Sydney,Won
C000110,3728,2024-02-03,2025-09-19,Opportunity,Google Ads > Website > Email > Purchase,Analytics Suite,45186.35,India,London,Lost
C000111,1674,2025-09-22,2025-07-06,Lost,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,6047.57,Germany,Berlin,Won
C000112,3944,2024-04-13,2025-03-16,Lost,Google Ads > Website > Email > Purchase,Analytics Suite,23185.38,India,Delhi,Won
C000113,4243,2024-06-19,2024-07-21,Lead,Instagram Ads > Website > Email > Purchase,Basic Plan,20586.69,Germany,Bangalore,Won
C000114,3734,2024-06-28,2025-02-13,Opportunity,YouTube Ads > Website > Direct > Purchase,Pro Plan,31511.1,Australia,Delhi,Won
C000115,3681,2024-05-21,2024-06-12,Lead,Google Ads > Website > Email > Purchase,Pro Plan,27461.01,UK,Bangalore,Won
C000116,3043,2025-04-18,2024-08-16,Lost,YouTube Ads > Website > Direct > Purchase,,29433.9,Germany,Delhi,Lost
C000117,3149,2025-08-01,2025-09-03,SQL,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,39845.02,Germany,,Won
C000118,2682,2025-07-03,2025-12-10,Won,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,32048.91,Germany,London,Won
C000119,1011,2025-10-07,2025-04-05,Lost,YouTube Ads > Website > Direct > Purchase,,33557.48,Australia,Bangalore,Lost
C000120,3329,2025-11-14,2024-03-25,SQL,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,27526.72,Australia,Bangalore,Won
C000121,1516,2024-10-19,2025-03-16,Opportunity,Instagram Ads > Website > Email > Purchase,Enterprise Plan,564.41,Germany,Mumbai,Won
C000122,3512,2024-10-18,2025-05-05,MQL,Facebook Ads > Website > Direct > Purchase,Basic Plan,18234.14,UK,Bangalore,Lost
C000123,2659,2025-03-03,2025-06-16,MQL,LinkedIn Ads > Demo > Purchase,Marketing Suite,5104.01,UK,,Won
C000124,3827,2024-01-15,2025-02-05,MQL,Instagram Ads > Website > Email > Purchase,Analytics Suite,21847.03,India,Delhi,Lost
C000125,4207,2025-12-08,2024-05-08,Won,Instagram Ads > Website > Email > Purchase,Basic Plan,21986.17,India,New York,Won
C000126,2620,2025-08-18,2025-11-23,Won,LinkedIn Ads > Demo > Purchase,Analytics Suite,18510.88,India,Berlin,Lost
C000127,1015,2025-03-05,2024-02-15,Won,Facebook Ads > Website > Direct > Purchase,Marketing Suite,32787.32,India,Mumbai,Lost
C000128,1138,2025-03-04,2024-05-31,Lead,Google Ads > Website > Email > Purchase,Marketing Suite,49557.1,India,Bangalore,Won
C000129,4414,2025-05-27,2024-09-29,MQL,LinkedIn Ads > Demo > Purchase,Pro Plan,4126.91,USA,Mumbai,Lost
C000130,3044,2024-11-04,2025-05-06,Lost,Google Ads > Website > Email > Purchase,,42229.63,UK,Sydney,Lost
C000131,3058,2024-04-23,2024-10-12,MQL,Instagram Ads > Website > Email > Purchase,Pro Plan,39722.8,UK,Delhi,Lost
C000132,2015,2024-09-15,2025-01-24,Lead,Instagram Ads > Website > Email > Purchase,Pro Plan,22387.17,India,Delhi,Lost
C000133,3502,2024-01-05,2024-03-27,Opportunity,Instagram Ads > Website > Email > Purchase,Marketing Suite,45882.93,Australia,Mumbai,Lost
C000134,1991,2025-11-14,2024-02-06,Opportunity,LinkedIn Ads > Demo > Purchase,Analytics Suite,8469.4,Australia,Mumbai,Won
C000135,2803,2025-06-10,2025-10-16,Won,Facebook Ads > Website > Direct > Purchase,Basic Plan,39415.72,Germany,New York,Lost
C000136,2579,2025-12-16,2025-10-01,Won,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,34443.07,India,London,Won
C000137,2378,2024-01-08,2024-02-29,Opportunity,YouTube Ads > Website > Direct > Purchase,Marketing Suite,3159.2,Australia,Delhi,Won
C000138,2322,2025-05-08,2025-11-20,MQL,YouTube Ads > Website > Direct > Purchase,Marketing Suite,19494.06,Germany,London,Won
C000139,3968,2024-12-11,2025-02-25,Lead,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,31182.37,Germany,Sydney,Won
C000140,1188,2025-05-17,2024-03-06,SQL,Google Ads > Website > Email > Purchase,,21282.39,Australia,Delhi,Won
C000141,1545,2025-04-18,2025-09-07,MQL,LinkedIn Ads > Demo > Purchase,Enterprise Plan,46488.6,Germany,Mumbai,Won
C000142,4193,2024-02-16,2025-08-22,MQL,Instagram Ads > Website > Email > Purchase,,17992.93,India,Delhi,Lost
C000143,2582,2025-05-25,2025-11-01,Won,Facebook Ads > Website > Direct > Purchase,Marketing Suite,500.12,Germany,Berlin,Won
C000144,2958,2024-05-09,2024-07-05,Lost,Facebook Ads > Website > Direct > Purchase,Basic Plan,35824.75,Australia,Bangalore,Won
C000145,2809,2025-07-16,2024-06-28,SQL,LinkedIn Ads > Demo > Purchase,Enterprise Plan,39004.25,Germany,New York,Won
C000146,2556,2024-03-10,2024-01-18,Lost,Instagram Ads > Website > Email > Purchase,Analytics Suite,14513.65,Australia,Bangalore,Won
C000147,3622,2024-08-09,2024-09-26,SQL,Instagram Ads > Website > Email > Purchase,Enterprise Plan,11217.03,USA,Mumbai,Won
C000148,3527,2024-07-16,2024-01-30,SQL,Google Ads > Website > Email > Purchase,Enterprise Plan,25833.47,India,Delhi,Lost
C000149,3418,2025-03-01,2024-09-13,Lost,YouTube Ads > Website > Direct > Purchase,Marketing Suite,20335.79,UK,Bangalore,Won
C000150,4481,2025-11-29,2024-06-29,SQL,YouTube Ads > Website > Direct > Purchase,Marketing Suite,42712.51,India,Bangalore,Lost
C000151,2616,2025-12-15,2025-06-07,SQL,LinkedIn Ads > Demo > Purchase,Analytics Suite,19262.56,USA,Berlin,Won
C000152,3009,2024-08-01,2025-03-07,MQL,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,49630.77,Australia,Sydney,Won
C000153,3115,2024-01-10,2024-01-01,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,22438.54,USA,Mumbai,Won
C000154,2976,2025-01-03,2025-10-23,Opportunity,YouTube Ads > Website > Direct > Purchase,,47799.09,India,Mumbai,Lost
C000155,2762,2024-08-24,2024-01-27,Won,Google Ads > Website > Email > Purchase,Pro Plan,203.54,Germany,Sydney,Won
C000156,4190,2024-01-25,2024-09-06,MQL,Instagram Ads > Website > Email > Purchase,Pro Plan,38933.3,India,Sydney,Won
C000157,3210,2024-06-22,2024-09-21,Lost,LinkedIn Ads > Demo > Purchase,Basic Plan,6195.12,India,London,Won
C000158,1280,2024-09-06,2024-12-26,SQL,Instagram Ads > Website > Email > Purchase,Basic Plan,43173.38,Australia,Sydney,Won
C000159,1775,2025-01-11,2025-02-17,Lost,Google Ads > Website > Email > Purchase,Marketing Suite,38293.81,Germany,,Won
C000160,3075,2025-10-21,2025-03-09,Lost,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,2865.99,India,Mumbai,Won
C000161,4411,2025-09-18,2024-12-12,Won,Google Ads > Website > Email > Purchase,Enterprise Plan,49881.92,Germany,Sydney,Won
C000162,3876,2025-03-19,2024-06-19,Lead,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,27332.74,Australia,Berlin,Won
C000163,4172,2024-06-06,2025-04-04,SQL,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,47610.38,UK,Berlin,Won
C000164,3506,2025-03-07,2025-05-13,MQL,Facebook Ads > Website > Direct > Purchase,Marketing Suite,7281.24,UK,London,Won
C000165,3929,2025-10-30,2024-02-26,Lost,Instagram Ads > Website > Email > Purchase,Pro Plan,29987.44,India,Berlin,Won
C000166,1470,2024-03-23,2024-06-09,MQL,Google Ads > Website > Email > Purchase,Pro Plan,35399.53,USA,London,Won
C000167,1099,2025-06-20,2025-06-28,SQL,LinkedIn Ads > Demo > Purchase,Basic Plan,43104.52,Germany,Bangalore,Won
C000168,3419,2025-09-24,2025-11-22,Won,Instagram Ads > Website > Email > Purchase,Basic Plan,3355.27,UK,,Won
C000169,3632,2025-04-11,2024-09-09,SQL,YouTube Ads > Website > Direct > Purchase,Basic Plan,31126.67,USA,Delhi,Won
C000170,4211,2025-10-06,2024-01-11,Won,Facebook Ads > Website > Direct > Purchase,Basic Plan,21650.15,Germany,Delhi,Won
C000171,2313,2025-11-24,2024-04-12,MQL,Google Ads > Website > Email > Purchase,Basic Plan,44740.68,USA,London,Lost
C000172,2566,2025-01-11,2024-02-26,SQL,YouTube Ads > Website > Direct > Purchase,Pro Plan,43635.94,USA,New York,Lost
C000173,3760,2025-02-02,2024-08-23,Won,YouTube Ads > Website > Direct > Purchase,Analytics Suite,36998.41,India,Delhi,Won
C000174,1141,2025-04-24,2025-05-27,Lead,Instagram Ads > Website > Email > Purchase,,28047.81,USA,Delhi,Lost
C000175,1973,2025-08-02,2024-12-26,Lost,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,11724.93,Australia,London,Lost
C000176,2076,2024-06-26,2024-03-04,Opportunity,Google Ads > Website > Email > Purchase,Enterprise Plan,8787.48,USA,London,Lost
C000177,3739,2025-09-17,2024-06-13,Lead,LinkedIn Ads > Demo > Purchase,Enterprise Plan,44992.58,UK,,Won
C000178,1884,2025-08-05,2024-10-07,Won,Google Ads > Website > Email > Purchase,Analytics Suite,44600.47,USA,Mumbai,Lost
C000179,3677,2024-12-23,2024-01-08,MQL,Facebook Ads > Website > Direct > Purchase,Basic Plan,17741.34,Germany,Bangalore,Lost
C000180,2192,2024-10-06,2025-04-24,Opportunity,Google Ads > Website > Email > Purchase,Marketing Suite,14013.09,USA,Bangalore,Won
C000181,4365,2024-04-03,2024-10-21,Lost,Instagram Ads > Website > Email > Purchase,Analytics Suite,5399.98,Australia,Delhi,Won
C000182,3448,2025-07-01,2024-02-09,Won,Facebook Ads > Website > Direct > Purchase,Basic Plan,13469.88,USA,London,Won
C000183,3273,2025-10-22,2024-07-27,Won,LinkedIn Ads > Demo > Purchase,Basic Plan,14859.64,India,New York,Lost
C000184,2581,2024-07-15,2025-02-10,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,31455.25,Australia,Mumbai,Won
C000185,4214,2025-01-09,2024-07-24,Opportunity,LinkedIn Ads > Demo > Purchase,Analytics Suite,33521.66,Germany,Mumbai,Lost
C000186,1788,2024-06-28,2024-06-11,Lead,Google Ads > Website > Email > Purchase,Basic Plan,27691.61,Germany,Sydney,Won
C000187,1875,2025-04-03,2025-05-09,Lost,Instagram Ads > Website > Email > Purchase,Analytics Suite,13417.44,Germany,Sydney,Won
C000188,3303,2025-03-09,2024-09-03,Lead,Instagram Ads > Website > Email > Purchase,Analytics Suite,46146.86,USA,,Won
C000189,2161,2025-04-19,2025-07-26,MQL,LinkedIn Ads > Demo > Purchase,Analytics Suite,8261.35,USA,Sydney,Won
C000190,3003,2025-01-16,2024-08-06,Opportunity,Google Ads > Website > Email > Purchase,Pro Plan,3573.08,Germany,Bangalore,Won
C000191,3641,2024-07-19,2025-10-17,SQL,YouTube Ads > Website > Direct > Purchase,Pro Plan,49745.22,Australia,London,Lost
C000192,2993,2024-03-13,2024-04-18,MQL,YouTube Ads > Website > Direct > Purchase,Marketing Suite,1196.42,USA,New York,Won
C000193,1907,2025-01-31,2025-06-14,Won,Instagram Ads > Website > Email > Purchase,Basic Plan,33549.4,India,Berlin,Won
C000194,3203,2025-02-06,2024-12-27,Lost,YouTube Ads > Website > Direct > Purchase,Basic Plan,15856.31,USA,Sydney,Lost
C000195,3693,2025-04-24,2024-06-09,SQL,LinkedIn Ads > Demo > Purchase,Enterprise Plan,49220.24,USA,Bangalore,Won
C000196,3663,2024-07-04,2024-03-29,Lead,Google Ads > Website > Email > Purchase,Pro Plan,17511.68,UK,Mumbai,Won
C000197,3745,2025-06-12,2025-06-24,SQL,LinkedIn Ads > Demo > Purchase,Marketing Suite,41654.64,India,Bangalore,Lost
C000198,3148,2025-01-10,2025-05-25,SQL,Instagram Ads > Website > Email > Purchase,Enterprise Plan,16094.31,India,,Won
C000199,1837,2024-04-29,2024-10-20,Lost,LinkedIn Ads > Demo > Purchase,Basic Plan,21387.28,Australia,New York,Lost
C000200,3360,2025-11-14,2024-01-02,Lost,Google Ads > Website > Email > Purchase,Marketing Suite,33534.37,USA,Sydney,Lost
C000201,1479,2025-05-11,2025-05-20,Lead,Facebook Ads > Website > Direct > Purchase,Basic Plan,41984.35,UK,Berlin,Lost
C000202,1124,2024-07-11,2025-09-12,Won,YouTube Ads > Website > Direct > Purchase,Basic Plan,38728.76,Germany,New York,Won
C000203,3907,2024-05-06,2024-06-29,Lost,LinkedIn Ads > Demo > Purchase,Pro Plan,22527.56,UK,Delhi,Won
C000204,4383,2024-04-17,2025-03-19,Won,Google Ads > Website > Email > Purchase,Analytics Suite,5285.27,Germany,Mumbai,Lost
C000205,2548,2024-05-12,2024-08-11,SQL,Instagram Ads > Website > Email > Purchase,Analytics Suite,11834.42,Germany,London,Lost
C000206,1579,2025-05-09,2025-09-10,Opportunity,LinkedIn Ads > Demo > Purchase,Basic Plan,4024.76,Germany,Sydney,Won
