session_id,user_id,session_date,traffic_source,utm_source,utm_medium,utm_campaign,device,city,country,pages_viewed,session_duration_sec,bounce_flag
S000129,3201,2025-01-25,Email,Organic Search,social,Campaign_XYZ,Desktop,Berlin,Germany,11,1185,0
S000130,1921,2024-04-27,Facebook Ads,Google Ads,email,Festive Offer,Mobile,Mumbai,India,13,3089,0
S000131,2933,2025-07-05,Organic Search,Email,organic,Festive Offer,Tablet,Bangalore,Germany,8,3566,1
S000132,1911,2024-01-01,Organic Search,Email,email,Campaign_XYZ,Desktop,Bangalore,UK,14,2794,0
S000133,3342,2024-10-27,LinkedIn Ads,Organic Search,cpc,Retargeting,Desktop,New York,Germany,7,2080,0
S000134,4101,2025-01-16,Organic Search,Google Ads,cpc,Brand Awareness,Mobile,Mumbai,Germany,16,274,1
S000135,2992,2024-10-23,YouTube Ads,Google Ads,email,Product Launch,Desktop,Delhi,India,20,2461,0
S000136,4174,2024-11-19,Google Ads,Google Ads,social,Black Friday,Mobile,Mumbai,Germany,11,1950,0
S000137,1064,2025-05-28,LinkedIn Ads,Instagram Ads,email,Black Friday,Desktop,Mumbai,USA,7,3329,1
S000138,1374,2024-09-29,Instagram Ads,YouTube Ads,cpc,Retargeting,Mobile,Mumbai,USA,1,2294,1
S000139,1230,2025-05-02,Google Ads,Facebook Ads,email,Product Launch,Mobile,Sydney,UK,6,164,0
S000140,1641,2025-01-27,LinkedIn Ads,YouTube Ads,email,Festive Offer,Tablet,London,India,18,748,0
S000141,3070,2025-10-12,Google Ads,YouTube Ads,email,Campaign_XYZ,Mobile,Sydney,UK,9,971,0
S000142,3337,2024-10-26,Instagram Ads,Facebook Ads,organic,Product Launch,Mobile,Mumbai,Germany,14,932,0
S000143,2344,2025-08-17,Google Ads,LinkedIn Ads,cpc,Brand Awareness,Mobile,Mumbai,India,8,3435,0
S000144,2640,2025-03-15,LinkedIn Ads,Facebook Ads,email,Black Friday,Mobile,Berlin,Australia,9,2507,0
S000145,3089,2024-03-19,Email,LinkedIn Ads,organic,Summer Sale,Tablet,London,India,4,1113,0
S000146,2193,2025-03-06,Instagram Ads,Facebook Ads,social,Festive Offer,Desktop,Sydney,Germany,13,3570,1
S000147,2860,2025-11-29,Email,Email,organic,Festive Offer,Mobile,New York,USA,13,1349,0
S000148,2446,2024-07-06,Email,YouTube Ads,email,Black Friday,Mobile,Sydney,Germany,23,3454,0
S000149,4039,2025-06-28,Email,YouTube Ads,email,Campaign_XYZ,Tablet,London,USA,15,3134,0
S000150,3249,2025-10-03,Email,Email,email,Summer Sale,Mobile,Sydney,India,21,1602,0
S000151,3581,2024-01-02,Facebook Ads,Facebook Ads,email,Campaign_XYZ,Mobile,Berlin,Germany,3,3293,0
S000152,2785,2024-02-29,Organic Search,Google Ads,organic,Retargeting,Desktop,New York,UK,14,256,1
S000153,2058,2025-02-07,YouTube Ads,LinkedIn Ads,organic,Retargeting,Mobile,Delhi,India,18,2895,1
S000154,1734,2024-05-01,YouTube Ads,Google Ads,cpc,Black Friday,Mobile,Delhi,Germany,24,2578,1
S000155,3091,2024-03-22,LinkedIn Ads,Organic Search,email,Black Friday,Mobile,London,India,22,1804,1
S000156,3863,2025-10-31,Organic Search,LinkedIn Ads,cpc,Campaign_XYZ,Desktop,Berlin,India,9,3144,1
S000157,2841,2025-12-25,YouTube Ads,Email,cpc,Summer Sale,Desktop,Bangalore,Germany,22,250,0
S000158,2519,2024-10-18,YouTube Ads,YouTube Ads,social,Campaign_XYZ,Mobile,Bangalore,India,12,908,0
S000159,4028,2024-04-27,LinkedIn Ads,LinkedIn Ads,email,Black Friday,Desktop,Berlin,Australia,14,234,0
S000160,3234,2025-08-01,LinkedIn Ads,YouTube Ads,cpc,Retargeting,Desktop,Berlin,Germany,23,63,1
S000161,4162,2024-05-24,Google Ads,Facebook Ads,organic,Campaign_XYZ,Mobile,New York,Australia,11,3014,0
S000162,2824,2025-01-15,YouTube Ads,Email,cpc,Retargeting,Desktop,New York,USA,20,3173,0
S000163,2551,2025-08-07,Email,Facebook Ads,cpc,Unknown,Mobile,Delhi,India,21,2143,0
S000164,3174,2024-06-09,Google Ads,Instagram Ads,email,Summer Sale,Mobile,Delhi,USA,21,2933,0
S000165,1772,2024-02-26,YouTube Ads,Organic Search,email,Product Launch,Mobile,Bangalore,USA,9,3596,1
S000166,2751,2024-08-13,YouTube Ads,Instagram Ads,social,Black Friday,Mobile,Delhi,USA,19,2918,0
S000167,3475,2024-06-30,Facebook Ads,Organic Search,organic,Retargeting,Desktop,London,India,9,1211,0
S000168,4183,2025-02-19,YouTube Ads,Facebook Ads,cpc,Summer Sale,Mobile,London,USA,20,1085,0
S000169,3266,2024-11-10,Organic Search,Instagram Ads,cpc,Brand Awareness,Desktop,Unknown,USA,8,3404,1
S000170,2013,2025-06-03,LinkedIn Ads,Email,social,Campaign_XYZ,Mobile,Sydney,Germany,15,803,0
S000171,1269,2025-01-04,YouTube Ads,Facebook Ads,social,Festive Offer,Mobile,New York,USA,15,1189,0
S000172,1888,2025-09-30,Instagram Ads,Google Ads,social,Campaign_XYZ,Mobile,Unknown,UK,22,2082,0
S000173,2359,2025-11-01,Email,YouTube Ads,cpc,Unknown,Mobile,Sydney,India,12,2570,0
S000174,2998,2025-07-29,Facebook Ads,Facebook Ads,organic,Black Friday,Mobile,Berlin,Germany,23,2299,0
S000175,1469,2024-01-05,Google Ads,Instagram Ads,social,Product Launch,Mobile,London,Australia,3,3581,1
S000176,2898,2024-06-18,YouTube Ads,Organic Search,organic,Summer Sale,Desktop,Unknown,UK,16,2259,0
S000177,2848,2024-12-27,YouTube Ads,Email,organic,Black Friday,Mobile,Delhi,Australia,1,907,1
S000178,1069,2024-06-28,Google Ads,Organic Search,email,Brand Awareness,Desktop,Bangalore,UK,15,2478,0
S000179,3170,2024-06-29,Facebook Ads,Instagram Ads,social,Unknown,Desktop,London,Germany,2,1244,0
S000180,2650,2024-01-13,Google Ads,Organic Search,organic,Summer Sale,Mobile,Berlin,UK,5,1825,0
S000181,2838,2024-07-30,YouTube Ads,Organic Search,cpc,Black Friday,Tablet,New York,India,12,3110,1
S000182,1236,2024-04-24,Google Ads,Instagram Ads,email,Festive Offer,Tablet,Sydney,India,3,2034,0
S000183,4291,2024-02-05,Google Ads,Google Ads,cpc,Campaign_XYZ,Desktop,Bangalore,India,18,1257,0
S000184,3194,2025-06-22,YouTube Ads,Email,social,Summer Sale,Mobile,Sydney,UK,5,1015,0
S000185,4133,2024-08-16,Facebook Ads,Google Ads,social,Campaign_XYZ,Mobile,Berlin,Germany,3,2315,0
S000186,2673,2025-09-30,LinkedIn Ads,Organic Search,organic,Festive Offer,Desktop,Mumbai,USA,22,759,0
S000187,1055,2024-04-06,Facebook Ads,Organic Search,social,Festive Offer,Mobile,Sydney,Germany,18,2713,0
S000188,3283,2025-08-27,LinkedIn Ads,Email,social,Summer Sale,Mobile,Sydney,Germany,9,2719,1
S000189,1605,2024-03-31,YouTube Ads,Google Ads,email,Brand Awareness,Mobile,Unknown,Australia,7,1964,0
S000190,3765,2025-12-15,YouTube Ads,Facebook Ads,organic,Summer Sale,Desktop,Berlin,Germany,14,1457,1
S000191,2615,2024-08-04,Organic Search,YouTube Ads,organic,Festive Offer,Desktop,Sydney,USA,21,103,0
S000192,2414,2024-04-29,Organic Search,Google Ads,email,Campaign_XYZ,Mobile,Sydney,UK,4,1780,0
S000193,3747,2024-05-12,LinkedIn Ads,Organic Search,organic,Brand Awareness,Desktop,Delhi,UK,13,1109,1
S000194,3098,2024-02-20,YouTube Ads,Instagram Ads,cpc,Festive Offer,Mobile,Berlin,USA,16,2879,0
S000195,2151,2025-07-31,YouTube Ads,Instagram Ads,cpc,Summer Sale,Desktop,Berlin,UK,2,2753,0
S000196,2250,2024-02-09,LinkedIn Ads,Google Ads,email,Campaign_XYZ,Mobile,Berlin,India,15,2608,1
S000197,1904,2025-09-23,Organic Search,Email,organic,Retargeting,Mobile,Bangalore,UK,9,3157,0
S000198,1944,2024-10-09,Organic Search,YouTube Ads,cpc,Product Launch,Desktop,Berlin,India,12,2402,0
S000199,4363,2025-05-21,Google Ads,YouTube Ads,cpc,Product Launch,Desktop,London,USA,19,2368,0
S000200,2288,2025-05-01,Email,Email,social,Retargeting,Mobile,New York,USA,4,2191,1
S000201,2311,2024-07-27,Facebook Ads,YouTube Ads,cpc,Product Launch,Desktop,London,Germany,19,1260,0
S000202,1749,2024-06-30,Facebook Ads,Email,organic,Brand Awareness,Desktop,Delhi,UK,13,1359,0
S000203,2848,2025-01-12,Organic Search,Instagram Ads,organic,Campaign_XYZ,Desktop,Sydney,Australia,12,2731,0
S000204,1345,2024-07-21,Instagram Ads,Facebook Ads,cpc,Black Friday,Mobile,New York,UK,4,915,0
S000205,2336,2025-06-04,YouTube Ads,Organic Search,social,Campaign_XYZ,Mobile,Delhi,Germany,13,465,0
S000206,4115,2024-09-23,Google Ads,LinkedIn Ads,social,Brand Awareness,Tablet,Berlin,UK,7,3077,1
S000207,2170,2024-03-10,Google Ads,Google Ads,cpc,Black Friday,Mobile,New York,Australia,12,3018,1
S000208,1884,2024-01-30,YouTube Ads,Google Ads,email,Brand Awareness,Desktop,New York,UK,11,1196,0
S000209,2066,2025-08-27,Facebook Ads,LinkedIn Ads,cpc,Campaign_XYZ,Desktop,London,Australia,15,3535,1
S000210,2347,2024-08-10,Instagram Ads,LinkedIn Ads,cpc,Brand Awareness,Mobile,Berlin,Australia,24,3321,0
S000211,2343,2025-04-15,Instagram Ads,Instagram Ads,organic,Festive Offer,Desktop,London,Germany,16,3417,0
S000212,4166,2024-11-28,Organic Search,Instagram Ads,email,Black Friday,Mobile,London,Australia,15,1183,0
S000213,3700,2024-04-27,Instagram Ads,Google Ads,organic,Retargeting,Desktop,Sydney,USA,13,260,0
S000214,4309,2025-02-24,LinkedIn Ads,Organic Search,social,Retargeting,Desktop,New York,Australia,8,3209,1
S000215,2161,2025-04-04,Email,Email,cpc,Retargeting,Desktop,London,USA,1,3588,0
S000216,2711,2024-11-27,LinkedIn Ads,Organic Search,social,Unknown,Desktop,New York,USA,11,1635,0
S000217,3707,2024-09-07,YouTube Ads,Facebook Ads,cpc,Brand Awareness,Desktop,New York,India,24,2952,0
S000218,1627,2025-11-18,Instagram Ads,Email,email,Brand Awareness,Desktop,Bangalore,India,7,2410,1
S000219,3309,2025-04-28,Organic Search,Google Ads,cpc,Unknown,Mobile,Sydney,USA,2,1420,0
S000220,2451,2025-01-07,Organic Search,Google Ads,email,Product Launch,Mobile,London,Australia,22,566,0
S000221,2455,2024-07-27,Google Ads,Google Ads,email,Summer Sale,Desktop,Delhi,Australia,1,2265,0
S000222,1063,2024-05-20,LinkedIn Ads,Instagram Ads,email,Festive Offer,Desktop,Mumbai,Australia,17,2242,0
S000223,3429,2025-07-25,Organic Search,Google Ads,organic,Product Launch,Mobile,Unknown,India,15,2256,0
S000224,1462,2024-10-12,LinkedIn Ads,Organic Search,social,Festive Offer,Desktop,London,India,20,244,0
S000225,4100,2024-04-29,YouTube Ads,Facebook Ads,organic,Product Launch,Desktop,Berlin,USA,13,3207,0
S000226,3545,2024-10-10,Email,Organic Search,cpc,Unknown,Mobile,Berlin,Australia,2,471,1
S000227,4399,2024-05-30,LinkedIn Ads,Facebook Ads,cpc,Retargeting,Mobile,Sydney,UK,19,3573,0
S000228,3056,2024-10-31,Organic Search,Facebook Ads,email,Black Friday,Desktop,New York,USA,6,605,0
S000229,3268,2025-02-17,YouTube Ads,Google Ads,email,Brand Awareness,Mobile,Sydney,Germany,4,3187,0
S000230,2558,2024-07-19,Google Ads,LinkedIn Ads,email,Black Friday,Mobile,Berlin,USA,23,3138,1
S000231,2523,2025-09-01,Organic Search,Google Ads,social,Summer Sale,Desktop,Delhi,India,1,1434,0
S000232,3358,2025-01-02,Organic Search,Organic Search,organic,Retargeting,Desktop,New York,USA,16,1931,0
S000233,2867,2024-01-26,YouTube Ads,LinkedIn Ads,organic,Summer Sale,Mobile,Berlin,Australia,3,243,0
S000234,1923,2025-01-14,Instagram Ads,Google Ads,cpc,Retargeting,Desktop,Bangalore,India,13,2196,1
S000235,1430,2024-12-02,LinkedIn Ads,Facebook Ads,cpc,Campaign_XYZ,Desktop,Delhi,India,12,263,0
S000236,1235,2025-08-02,Facebook Ads,Organic Search,cpc,Brand Awareness,Desktop,Unknown,UK,7,1611,1
S000237,2678,2025-08-12,YouTube Ads,LinkedIn Ads,cpc,Black Friday,Desktop,Berlin,Australia,11,1847,0
S000238,3289,2024-09-14,Google Ads,Organic Search,email,Retargeting,Desktop,Unknown,Australia,1,3019,0
S000239,4042,2025-08-04,Instagram Ads,Facebook Ads,email,Product Launch,Desktop,Bangalore,Germany,22,2010,0
S000240,1988,2025-05-18,YouTube Ads,Google Ads,organic,Brand Awareness,Mobile,New York,UK,16,3012,0
S000241,1423,2025-04-01,Instagram Ads,Organic Search,social,Festive Offer,Desktop,Bangalore,UK,13,2692,0
