spend_id,date,channel,campaign,utm_source,utm_medium,utm_campaign,impressions,clicks,ad_spend,country
25,2024-07-10,Google Ads,Campaign_XYZ,Facebook Ads,organic,Black Friday,128212,16075,4954.06,UK
26,2024-10-03,Instagram Ads,Product Launch,Instagram Ads,organic,Retargeting,158742,17322,8107.59,Australia
27,2024-06-09,Instagram Ads,Retargeting,,email,Brand Awareness,377428,453,3827.77,India
28,2025-04-04,Organic Search,Campaign_XYZ,LinkedIn Ads,organic,Black Friday,60665,12851,1880.97,UK
29,2024-11-09,Google Ads,Retargeting,LinkedIn Ads,cpc,Black Friday,287832,8026,4702.87,UK
30,2024-01-22,Email,Product Launch,Instagram Ads,social,Summer Sale,187912,4035,4817.3,Australia
31,2024-09-09,Email,Product Launch,Facebook Ads,cpc,Retargeting,466294,16310,260.43,UK
32,2025-07-14,Facebook Ads,Summer Sale,Email,cpc,Black Friday,222975,6599,306.8,Australia
33,2025-04-19,Google Ads,Campaign_XYZ,YouTube Ads,organic,Retargeting,379147,5178,2848.62,USA
34,2024-02-28,Facebook Ads,,Email,social,Product Launch,159011,12851,7438.09,USA
35,2025-05-25,Email,Brand Awareness,LinkedIn Ads,cpc,Black Friday,53385,15647,3723.3,Australia
36,2025-11-12,Email,Campaign_XYZ,YouTube Ads,email,Retargeting,377882,19021,2190.92,Germany
37,2025-04-20,Google Ads,Festive Offer,Google Ads,email,Brand Awareness,344445,339,1218.45,Germany
38,2025-11-30,Facebook Ads,,Email,email,Summer Sale,394359,18662,2877.17,India
39,2024-07-08,Facebook Ads,Brand Awareness,Google Ads,email,Festive Offer,53839,15724,4866.25,Germany
40,2025-11-17,Google Ads,Black Friday,Google Ads,social,Retargeting,72337,10555,1024.46,India
41,2025-07-16,Organic Search,Retargeting,Organic Search,email,Summer Sale,159223,12420,247.85,Australia
42,2025-07-20,Facebook Ads,Black Friday,Email,social,Festive Offer,350316,12078,1360.34,Australia
43,2024-08-31,Organic Search,Festive Offer,LinkedIn Ads,social,Black Friday,448986,14643,7406.0,Australia
44,2025-05-19,LinkedIn Ads,Product Launch,Instagram Ads,social,Black Friday,218477,9911,4716.47,India
45,2024-05-10,Email,Summer Sale,LinkedIn Ads,social,Product Launch,204945,10488,4507.16,UK
46,2025-04-29,YouTube Ads,Festive Offer,Google Ads,organic,Summer Sale,418751,697,295.55,India
47,2025-10-08,Organic Search,Product Launch,Google Ads,cpc,Brand Awareness,360965,19588,7138.35,UK
48,2024-01-21,Organic Search,Festive Offer,LinkedIn Ads,organic,Campaign_XYZ,306124,315,2098.9,USA
49,2024-06-15,Organic Search,Product Launch,Instagram Ads,cpc,Brand Awareness,194695,3538,999.57,USA
50,2024-09-30,Instagram Ads,Campaign_XYZ,Instagram Ads,organic,Retargeting,9116,15382,8436.13,UK
51,2025-01-22,Facebook Ads,Summer Sale,Organic Search,email,Brand Awareness,217722,11159,4907.52,UK
52,2025-08-23,Facebook Ads,Product Launch,,social,Festive Offer,261914,19212,7514.44,Germany
53,2024-11-11,Instagram Ads,Brand Awareness,Facebook Ads,email,Summer Sale,452308,11843,8236.66,UK
54,2024-01-14,Facebook Ads,Festive Offer,Google Ads,email,Black Friday,310659,14188,9649.71,UK
55,2024-08-29,Instagram Ads,Summer Sale,Instagram Ads,email,Summer Sale,14998,3877,6274.63,Australia
56,2024-12-11,Organic Search,Product Launch,Email,organic,Summer Sale,31279,692,775.95,India
57,2025-07-18,Google Ads,Brand Awareness,Organic Search,email,Black Friday,261479,14072,5621.11,UK
58,2024-12-05,LinkedIn Ads,Brand Awareness,,social,Festive Offer,108370,866,5144.27,Australia
59,2024-04-01,Organic Search,Campaign_XYZ,Facebook Ads,social,Summer Sale,328294,2241,669.88,UK
60,2025-01-01,LinkedIn Ads,Retargeting,Email,cpc,Brand Awareness,184168,2718,3132.39,Germany
61,2025-03-30,Email,Brand Awareness,Google Ads,organic,Retargeting,317099,11869,4180.56,UK
62,2025-03-03,Organic Search,Black Friday,Organic Search,social,Campaign_XYZ,444576,11833,1693.66,UK
63,2025-05-23,YouTube Ads,,Organic Search,social,Retargeting,447101,7609,186.74,Australia
64,2024-02-04,Facebook Ads,Summer Sale,Instagram Ads,organic,Summer Sale,99517,19806,7594.08,UK
65,2024-07-24,YouTube Ads,Summer Sale,,email,Festive Offer,489541,10172,8531.18,Australia
66,2024-03-21,Google Ads,Product Launch,LinkedIn Ads,social,Black Friday,146977,7058,2368.11,India
67,2025-07-15,LinkedIn Ads,Festive Offer,Organic Search,email,Product Launch,228546,8770,137.62,Australia
68,2025-01-22,Organic Search,Product Launch,Email,social,Festive Offer,457922,4112,8910.38,India
69,2024-01-02,Google Ads,Black Friday,LinkedIn Ads,cpc,Summer Sale,275444,12676,1426.2,UK
70,2025-01-24,Google Ads,Festive Offer,Instagram Ads,email,Summer Sale,122254,11825,4091.97,India
71,2025-07-19,Facebook Ads,Campaign_XYZ,Instagram Ads,social,Product Launch,19202,7552,3723.07,USA
72,2024-04-15,Google Ads,Brand Awareness,Email,organic,Retargeting,201102,19234,1726.19,USA
73,2025-04-21,Organic Search,Product Launch,Facebook Ads,organic,Festive Offer,67021,17364,6028.22,Australia
74,2025-12-03,Organic Search,Festive Offer,Organic Search,organic,Retargeting,368992,10840,9193.57,Germany
75,2025-02-05,LinkedIn Ads,Brand Awareness,,social,Campaign_XYZ,85935,4243,5185.86,UK
76,2025-12-30,Organic Search,Festive Offer,Google Ads,email,Product Launch,111219,12417,9731.83,USA
77,2025-07-09,YouTube Ads,Brand Awareness,Facebook Ads,cpc,Black Friday,168319,4433,1988.64,Germany
78,2024-06-10,LinkedIn Ads,Festive Offer,LinkedIn Ads,cpc,Campaign_XYZ,139001,11136,8500.17,Australia
79,2024-07-20,Facebook Ads,Product Launch,Google Ads,social,Summer Sale,46174,3200,2643.39,India
80,2024-09-26,LinkedIn Ads,Product Launch,Facebook Ads,social,Brand Awareness,160675,2627,2580.36,UK
81,2024-09-27,Instagram Ads,Black Friday,LinkedIn Ads,social,Retargeting,46967,4930,1265.15,India
82,2025-03-31,YouTube Ads,Campaign_XYZ,,email,Retargeting,383048,4355,8649.97,UK
83,2025-04-06,Instagram Ads,Campaign_XYZ,YouTube Ads,organic,Festive Offer,5937,15001,7278.08,USA
84,2025-12-27,Instagram Ads,Retargeting,Organic Search,email,Campaign_XYZ,99967,19582,3482.4,Germany
85,2024-09-08,Email,Summer Sale,Email,email,Campaign_XYZ,444391,12652,3559.23,Australia
86,2025-12-02,Organic Search,Product Launch,Email,social,Retargeting,498836,8110,8463.47,UK
87,2024-10-22,Facebook Ads,Product Launch,Email,cpc,Black Friday,79610,5176,9283.06,USA
88,2025-12-25,Google Ads,Brand Awareness,YouTube Ads,email,Product Launch,251202,18380,6064.02,Australia
89,2025-12-20,Instagram Ads,Retargeting,Organic Search,cpc,Black Friday,459988,13292,4127.71,UK
90,2024-12-03,LinkedIn Ads,Campaign_XYZ,,social,Retargeting,130960,1622,626.12,USA
91,2024-02-22,Google Ads,Product Launch,Organic Search,email,Festive Offer,286214,13873,1352.99,Australia
92,2024-08-04,LinkedIn Ads,Festive Offer,,organic,Summer Sale,405692,16633,1503.7,India
93,2024-07-06,LinkedIn Ads,Campaign_XYZ,Google Ads,organic,Retargeting,86263,18811,2840.35,Germany
94,2025-01-14,Google Ads,Retargeting,Facebook Ads,email,Summer Sale,367998,4118,2644.62,Germany
95,2025-05-07,Google Ads,Summer Sale,Instagram Ads,organic,Festive Offer,117813,8331,5474.53,India
96,2024-02-10,Organic Search,Festive Offer,Email,email,Summer Sale,375312,17024,9446.59,Germany
97,2024-06-05,LinkedIn Ads,Brand Awareness,Email,organic,Retargeting,446585,6248,8630.44,Germany
98,2024-01-15,Facebook Ads,Black Friday,Email,social,Retargeting,412555,8333,5140.71,UK
99,2024-03-05,Organic Search,Festive Offer,Instagram Ads,organic,Summer Sale,285683,11899,271.25,USA
100,2025-06-04,YouTube Ads,Campaign_XYZ,Google Ads,organic,Black Friday,189151,12398,777.15,India
101,2024-12-09,Email,Summer Sale,Google Ads,social,Black Friday,263372,10406,8617.47,USA
102,2024-05-08,YouTube Ads,Festive Offer,Instagram Ads,social,Festive Offer,317234,17023,2907.94,Germany
103,2025-10-09,Facebook Ads,Retargeting,LinkedIn Ads,organic,Black Friday,350124,19748,3249.1,USA
104,2025-04-16,Organic Search,Retargeting,Email,cpc,Campaign_XYZ,66202,17219,1483.8,Australia
105,2024-03-03,Email,Summer Sale,Facebook Ads,cpc,Brand Awareness,225596,13435,2308.82,India
106,2024-05-18,Organic Search,Campaign_XYZ,Google Ads,email,Summer Sale,24199,12358,2547.16,India
107,2025-05-13,Google Ads,Retargeting,Organic Search,organic,Brand Awareness,475844,10130,4179.73,India
108,2025-08-15,Email,Festive Offer,Instagram Ads,email,Brand Awareness,364334,4095,6269.14,UK
109,2025-01-26,LinkedIn Ads,Black Friday,LinkedIn Ads,social,Campaign_XYZ,275595,17611,3596.25,USA
110,2025-11-05,YouTube Ads,Festive Offer,YouTube Ads,organic,Summer Sale,80527,1327,4553.65,USA
111,2025-02-22,Email,Black Friday,Instagram Ads,social,Brand Awareness,275813,3015,1900.81,UK
112,2024-10-15,LinkedIn Ads,Retargeting,Organic Search,organic,Festive Offer,466626,8543,658.26,India
113,2025-01-13,Organic Search,Festive Offer,LinkedIn Ads,organic,Festive Offer,489005,2394,3547.58,UK
114,2025-05-04,Facebook Ads,Retargeting,YouTube Ads,social,Summer Sale,194957,7708,718.67,UK
115,2024-08-18,Email,Campaign_XYZ,LinkedIn Ads,organic,Product Launch,156061,13110,3067.23,Germany
116,2024-02-10,LinkedIn Ads,Black Friday,Google Ads,organic,Product Launch,347883,5213,8392.23,India
117,2024-01-28,Organic Search,Campaign_XYZ,Instagram Ads,email,Campaign_XYZ,462741,19649,3732.62,Australia
118,2024-05-14,Organic Search,Retargeting,Organic Search,social,Summer Sale,108582,8237,2013.29,Germany
119,2024-07-19,Organic Search,Product Launch,YouTube Ads,cpc,Summer Sale,466890,12756,9030.47,India
120,2024-02-02,Facebook Ads,Brand Awareness,LinkedIn Ads,cpc,Summer Sale,166833,16495,6429.56,India
121,2024-02-17,Google Ads,Festive Offer,YouTube Ads,organic,Black Friday,226525,907,9883.69,India
122,2025-05-17,Facebook Ads,Product Launch,Facebook Ads,email,Summer Sale,167885,17774,3072.49,USA
123,2025-02-10,Facebook Ads,Campaign_XYZ,Organic Search,organic,Festive Offer,465945,13033,2083.65,India
124,2025-07-27,YouTube Ads,Retargeting,Instagram Ads,email,Festive Offer,279301,17408,3049.61,India
125,2025-12-28,Organic Search,Retargeting,Google Ads,organic,Retargeting,118993,4687,8143.67,Australia
126,2024-04-08,LinkedIn Ads,Brand Awareness,YouTube Ads,cpc,Product Launch,478128,19737,1600.13,India
127,2025-11-14,Email,Retargeting,Email,social,Product Launch,86519,18145,2486.68,UK
128,2025-12-26,YouTube Ads,Brand Awareness,LinkedIn Ads,email,Campaign_XYZ,244635,17223,7046.17,India
129,2025-06-30,Organic Search,,Email,organic,Summer Sale,315883,630,7406.2,India
130,2025-09-04,Instagram Ads,Black Friday,YouTube Ads,organic,Product Launch,231681,8593,9592.53,India
131,2025-04-06,Facebook Ads,Brand Awareness,Organic Search,email,Summer Sale,327300,2352,9803.5,USA
132,2025-10-04,Instagram Ads,Brand Awareness,Email,email,Summer Sale,89283,1123,6668.96,Germany
133,2024-01-05,Organic Search,Product Launch,LinkedIn Ads,cpc,Product Launch,32626,10273,3691.67,USA
134,2024-08-05,YouTube Ads,,YouTube Ads,email,Product Launch,235843,7611,4584.84,Australia
135,2025-05-17,LinkedIn Ads,Festive Offer,Google Ads,organic,Retargeting,398675,12610,4448.75,Australia
136,2025-02-01,YouTube Ads,Black Friday,Google Ads,cpc,Campaign_XYZ,333767,18316,3935.04,UK
137,2025-01-27,LinkedIn Ads,,Instagram Ads,cpc,Brand Awareness,182143,4395,3448.63,UK
138,2024-07-25,LinkedIn Ads,Campaign_XYZ,Google Ads,social,Retargeting,278042,17694,1762.21,Australia
139,2024-01-15,Organic Search,Brand Awareness,YouTube Ads,social,Retargeting,42001,7097,3724.97,Germany
140,2025-07-07,Google Ads,Summer Sale,Organic Search,social,Product Launch,277902,281,9695.37,Germany
141,2025-04-05,Organic Search,Retargeting,,email,Campaign_XYZ,441454,14813,8833.35,Australia
142,2025-11-21,Facebook Ads,,Google Ads,cpc,Festive Offer,409337,9198,6211.53,India
143,2025-07-28,YouTube Ads,Brand Awareness,Facebook Ads,email,Campaign_XYZ,215274,4779,2008.78,USA
144,2024-08-28,LinkedIn Ads,Summer Sale,,cpc,Retargeting,178342,9336,8798.78,USA
145,2025-07-17,Organic Search,Product Launch,Instagram Ads,organic,Festive Offer,229607,12171,3187.47,India
146,2024-04-05,Organic Search,Summer Sale,Facebook Ads,email,Product Launch,442067,19970,5502.58,Germany
147,2025-04-29,YouTube Ads,Campaign_XYZ,Google Ads,cpc,Black Friday,192981,19926,9126.77,USA
148,2025-02-10,YouTube Ads,Product Launch,Organic Search,social,Summer Sale,443131,17736,3413.43,USA
149,2024-08-18,LinkedIn Ads,Campaign_XYZ,LinkedIn Ads,social,Brand Awareness,312137,4364,9142.09,UK
150,2025-10-16,Email,,YouTube Ads,organic,Festive Offer,236485,16740,2427.77,Germany
151,2024-06-19,Instagram Ads,Retargeting,LinkedIn Ads,email,Black Friday,35888,10265,9294.16,Australia
152,2025-06-24,Facebook Ads,Festive Offer,Email,cpc,Festive Offer,241713,3524,3650.79,Australia
153,2024-02-05,Facebook Ads,Summer Sale,Instagram Ads,social,Summer Sale,487010,15308,3808.55,India
154,2025-06-08,Email,Brand Awareness,Facebook Ads,cpc,Summer Sale,14893,14154,5574.78,USA
155,2024-06-08,Google Ads,Campaign_XYZ,LinkedIn Ads,email,Campaign_XYZ,87416,17836,3535.56,Australia
156,2025-11-29,Email,Campaign_XYZ,Instagram Ads,social,Brand Awareness,118838,13998,4554.83,India
157,2024-08-30,Google Ads,Retargeting,LinkedIn Ads,organic,Retargeting,163784,11640,5063.11,UK
158,2024-03-26,Google Ads,Summer Sale,LinkedIn Ads,organic,Summer Sale,30943,18551,4961.09,Germany
159,2025-07-31,Email,Brand Awareness,Instagram Ads,email,Brand Awareness,268450,16841,9614.98,USA
160,2025-11-12,Facebook Ads,Brand Awareness,YouTube Ads,email,Festive Offer,66461,5730,2889.71,USA
161,2025-07-10,Instagram Ads,Campaign_XYZ,LinkedIn Ads,cpc,Festive Offer,488052,14904,2917.34,India
162,2025-07-27,Facebook Ads,Festive Offer,Instagram Ads,organic,Festive Offer,117521,12943,8395.42,USA
163,2025-10-07,Organic Search,Campaign_XYZ,LinkedIn Ads,email,Campaign_XYZ,418323,5553,3980.89,Germany
164,2024-01-28,Facebook Ads,Festive Offer,Organic Search,email,Festive Offer,236254,6274,824.65,Australia
165,2025-09-11,Facebook Ads,Campaign_XYZ,YouTube Ads,organic,Festive Offer,404925,7655,4864.41,India
166,2025-07-09,Email,Campaign_XYZ,Organic Search,cpc,Product Launch,262967,18526,5547.27,Germany
167,2024-12-05,Email,Brand Awareness,Organic Search,cpc,Summer Sale,99017,16570,6215.16,USA
168,2024-11-26,Organic Search,Festive Offer,Instagram Ads,organic,Campaign_XYZ,146986,11112,2427.42,Australia
169,2025-10-01,Organic Search,Brand Awareness,Organic Search,organic,Summer Sale,97711,9220,9735.27,Germany
170,2025-05-20,Email,Summer Sale,,organic,Retargeting,393467,13157,7396.48,Australia
171,2024-12-13,Facebook Ads,Campaign_XYZ,Google Ads,organic,Campaign_XYZ,291556,1534,7229.39,Australia
172,2025-04-17,Instagram Ads,,YouTube Ads,organic,Retargeting,328470,19810,8741.44,India
173,2024-08-18,Google Ads,Festive Offer,LinkedIn Ads,email,Campaign_XYZ,17151,6376,358.66,USA
174,2024-07-08,YouTube Ads,Product Launch,Facebook Ads,social,Product Launch,327834,516,6170.11,UK
175,2024-08-12,Google Ads,,Instagram Ads,organic,Summer Sale,399225,4983,8196.59,UK
176,2025-01-19,Organic Search,Product Launch,LinkedIn Ads,social,Campaign_XYZ,348926,14589,440.3,UK
177,2025-01-11,Organic Search,Black Friday,YouTube Ads,cpc,Retargeting,312424,1024,7585.84,Germany
178,2024-10-09,Google Ads,Brand Awareness,Organic Search,email,Campaign_XYZ,324962,12960,9898.0,UK
179,2025-09-24,YouTube Ads,Brand Awareness,YouTube Ads,social,Brand Awareness,192602,5237,5974.76,USA
180,2025-09-19,Facebook Ads,Retargeting,Facebook Ads,cpc,Festive Offer,395561,7062,4304.45,UK
181,2024-09-15,Instagram Ads,Product Launch,Organic Search,cpc,Festive Offer,470380,14071,4590.72,Australia
182,2024-12-24,Instagram Ads,Product Launch,,cpc,Summer Sale,128439,2701,6826.86,Australia
183,2025-12-10,Google Ads,Brand Awareness,Email,organic,Festive Offer,123057,18233,5742.56,Australia
184,2025-03-31,YouTube Ads,Product Launch,Email,email,Festive Offer,40900,15013,7896.95,UK
185,2025-02-14,Organic Search,Brand Awareness,LinkedIn Ads,cpc,Brand Awareness,349706,17449,4274.21,USA
186,2025-10-10,LinkedIn Ads,Campaign_XYZ,Google Ads,organic,Black Friday,30289,6288,4231.51,USA
187,2024-11-13,Facebook Ads,Campaign_XYZ,Organic Search,social,Product Launch,423648,15182,7485.06,UK
188,2025-11-07,Google Ads,Brand Awareness,YouTube Ads,email,Retargeting,348287,9698,6490.63,USA
189,2024-08-12,Instagram Ads,Festive Offer,Google Ads,social,Black Friday,327284,16070,7803.17,UK
190,2024-08-21,Organic Search,Brand Awareness,Organic Search,social,Retargeting,151932,8610,8882.92,USA
191,2025-11-14,Email,Summer Sale,Organic Search,organic,Black Friday,268241,6097,2707.72,India
192,2025-10-25,Email,Summer Sale,Organic Search,social,Festive Offer,421330,6639,3218.86,India
193,2025-01-08,YouTube Ads,Summer Sale,Organic Search,email,Retargeting,192270,14708,5316.81,USA
194,2025-11-02,YouTube Ads,Summer Sale,Google Ads,social,Product Launch,407689,15015,9311.48,Australia
195,2025-08-30,Google Ads,,LinkedIn Ads,organic,Summer Sale,64634,12855,8363.41,India
196,2025-04-16,LinkedIn Ads,Retargeting,Instagram Ads,cpc,Brand Awareness,371075,1394,4737.61,Germany
197,2024-08-20,Instagram Ads,Retargeting,Instagram Ads,organic,Black Friday,287975,9374,5773.88,UK
198,2025-11-22,Google Ads,Brand Awareness,Instagram Ads,cpc,Brand Awareness,154178,7589,7151.87,Germany
199,2024-04-22,LinkedIn Ads,Campaign_XYZ,Facebook Ads,social,Brand Awareness,339289,7914,5274.53,USA
200,2025-05-11,Organic Search,Product Launch,Organic Search,cpc,Retargeting,453313,17913,1074.64,USA
201,2025-03-17,YouTube Ads,Summer Sale,Organic Search,organic,Summer Sale,333426,13275,3592.09,Australia
202,2025-07-17,Email,Retargeting,YouTube Ads,organic,Retargeting,162456,19500,571.36,India
203,2024-09-24,Facebook Ads,Retargeting,Facebook Ads,email,Brand Awareness,325898,7141,6731.67,India
204,2025-05-24,Organic Search,Summer Sale,YouTube Ads,email,Festive Offer,53563,12270,3437.53,Germany
205,2025-01-20,Email,Campaign_XYZ,Email,cpc,Campaign_XYZ,17459,18906,7409.79,India
206,2025-01-21,Instagram Ads,Black Friday,YouTube Ads,cpc,Product Launch,294432,1008,4354.13,USA
207,2024-04-22,Instagram Ads,Black Friday,YouTube Ads,email,Summer Sale,168451,17922,551.32,Australia
208,2025-09-04,Email,Retargeting,LinkedIn Ads,social,Summer Sale,205609,18367,3858.2,UK
209,2025-09-16,Organic Search,Black Friday,Instagram Ads,email,Festive Offer,124384,13634,2265.08,Germany
210,2024-03-21,Email,Festive Offer,Organic Search,social,Brand Awareness,495912,5777,2221.48,Germany
211,2025-11-29,LinkedIn Ads,,Facebook Ads,cpc,Retargeting,76720,5199,3838.34,UK
212,2024-04-22,Google Ads,Campaign_XYZ,Email,cpc,Festive Offer,145021,5024,9785.43,USA
213,2024-01-02,YouTube Ads,Retargeting,Facebook Ads,organic,Product Launch,366559,3311,9604.69,Germany
214,2025-10-03,LinkedIn Ads,Summer Sale,Organic Search,organic,Black Friday,176410,10441,8054.2,India
215,2024-08-07,Facebook Ads,Black Friday,LinkedIn Ads,social,Retargeting,334799,10544,2530.13,India
216,2025-07-19,Email,Summer Sale,YouTube Ads,social,Summer Sale,36162,13095,7662.9,India
217,2024-08-12,Facebook Ads,Black Friday,Email,email,Festive Offer,297328,9120,252.1,Australia
218,2025-01-19,Facebook Ads,Campaign_XYZ,Instagram Ads,social,Retargeting,325806,5618,657.86,UK
219,2025-02-06,LinkedIn Ads,Black Friday,Organic Search,cpc,Black Friday,74379,4818,8373.75,USA
220,2025-09-29,YouTube Ads,Summer Sale,Google Ads,cpc,Campaign_XYZ,27805,13213,5685.94,India
221,2024-05-09,Organic Search,Campaign_XYZ,Google Ads,cpc,Campaign_XYZ,271575,11936,3795.75,India
222,2024-02-22,Instagram Ads,Black Friday,LinkedIn Ads,organic,Product Launch,121741,5227,7430.54,Australia
223,2025-11-14,Google Ads,Festive Offer,Instagram Ads,social,Campaign_XYZ,215769,8096,1232.19,India
224,2025-12-30,Instagram Ads,Brand Awareness,Google Ads,social,Campaign_XYZ,392233,17304,2938.2,Australia
225,2025-11-02,YouTube Ads,Summer Sale,Google Ads,organic,Festive Offer,105618,6651,7303.32,UK
226,2025-12-10,Instagram Ads,Brand Awareness,Organic Search,organic,Product Launch,498284,8947,2150.97,Germany
227,2025-02-19,Email,Summer Sale,Email,organic,Black Friday,29836,19123,6046.36,India
228,2024-09-03,Email,Black Friday,Email,cpc,Black Friday,456609,10501,4531.87,India
229,2025-03-14,LinkedIn Ads,Black Friday,Organic Search,social,Campaign_XYZ,103462,4631,2103.4,UK
230,2024-07-21,Facebook Ads,Campaign_XYZ,Facebook Ads,email,Brand Awareness,257354,12109,8894.99,Germany
231,2024-07-02,YouTube Ads,Retargeting,Organic Search,email,Summer Sale,267290,7084,4411.72,Australia
232,2024-05-02,YouTube Ads,Festive Offer,Instagram Ads,social,Brand Awareness,478767,18401,6028.52,Germany
233,2025-02-04,Instagram Ads,Retargeting,Google Ads,social,Retargeting,31762,9494,2605.07,India
234,2024-10-20,LinkedIn Ads,Brand Awareness,Email,organic,Black Friday,373546,9494,3533.37,UK
235,2024-10-06,Instagram Ads,Black Friday,,organic,Brand Awareness,176042,5130,584.94,USA
236,2025-09-01,Instagram Ads,Retargeting,Email,cpc,Summer Sale,71976,4488,4883.82,UK
237,2024-07-16,YouTube Ads,Black Friday,Email,organic,Summer Sale,217381,3178,3513.98,Australia
238,2025-05-25,Instagram Ads,Summer Sale,Facebook Ads,social,Black Friday,311487,9908,3361.1,Australia
239,2024-05-23,Facebook Ads,Retargeting,Instagram Ads,cpc,Festive Offer,78804,12631,8910.44,India
240,2025-08-31,Instagram Ads,Brand Awareness,YouTube Ads,email,Brand Awareness,157862,16236,7068.31,UK
241,2024-07-19,Facebook Ads,Campaign_XYZ,Email,social,Product Launch,152017,11851,4627.17,USA
242,2024-05-03,YouTube Ads,Retargeting,Instagram Ads,email,Black Friday,121921,9861,2033.98,UK
243,2024-07-05,LinkedIn Ads,Black Friday,LinkedIn Ads,social,Campaign_XYZ,416141,17778,9735.19,Australia
244,2024-11-21,Email,Product Launch,Facebook Ads,social,Retargeting,401874,12155,840.18,UK
245,2025-04-08,Facebook Ads,Product Launch,YouTube Ads,cpc,Brand Awareness,26191,12010,1447.45,India
246,2024-12-14,LinkedIn Ads,Campaign_XYZ,Email,cpc,Brand Awareness,38426,18212,2776.18,Australia
247,2025-10-21,LinkedIn Ads,Campaign_XYZ,Organic Search,organic,Black Friday,467173,3153,9549.83,UK
248,2025-02-06,Facebook Ads,Festive Offer,Email,social,Festive Offer,272466,5916,2860.93,UK
249,2024-12-11,YouTube Ads,,Facebook Ads,social,Brand Awareness,450829,5580,4965.12,India
250,2025-05-25,Google Ads,Black Friday,Facebook Ads,cpc,Brand Awareness,23014,3138,7635.53,India
251,2024-05-26,LinkedIn Ads,Summer Sale,Google Ads,email,Retargeting,71891,5221,9298.94,UK
252,2024-05-27,LinkedIn Ads,,Email,organic,Festive Offer,207321,4515,6090.39,USA
253,2025-12-11,YouTube Ads,,Instagram Ads,social,Retargeting,196394,6643,3904.35,Australia
254,2025-05-03,YouTube Ads,Product Launch,Facebook Ads,cpc,Product Launch,369460,400,9856.54,UK
255,2025-10-01,Instagram Ads,Summer Sale,Facebook Ads,social,Retargeting,283979,6572,359.01,India
256,2025-07-04,YouTube Ads,Black Friday,LinkedIn Ads,cpc,Campaign_XYZ,364112,13800,8338.51,Australia
257,2024-12-03,LinkedIn Ads,Summer Sale,LinkedIn Ads,organic,Product Launch,366310,250,2846.56,India
258,2025-10-02,Facebook Ads,Black Friday,LinkedIn Ads,email,Retargeting,91415,2602,8192.77,Australia
259,2025-04-17,Google Ads,Festive Offer,Facebook Ads,social,Product Launch,439155,7601,1705.45,UK
260,2024-05-30,Organic Search,Retargeting,YouTube Ads,social,Festive Offer,131579,16257,3533.5,Germany
261,2025-02-18,Instagram Ads,Summer Sale,Instagram Ads,organic,Retargeting,273230,12170,654.12,Germany
