spend_id,date,channel,campaign,utm_source,utm_medium,utm_campaign,impressions,clicks,ad_spend,country,ctr,cpc
48,2024-01-21,Organic Search,Festive Offer,LinkedIn Ads,organic,Campaign_XYZ,306124,315,2098.9,USA,0.0010289947864264154,6.663174603174603
49,2024-06-15,Organic Search,Product Launch,Instagram Ads,cpc,Brand Awareness,194695,3538,999.57,USA,0.018172012635147283,0.28252402487280953
50,2024-09-30,Instagram Ads,Campaign_XYZ,Instagram Ads,organic,Retargeting,9116,15382,8436.13,UK,1.6873628784554628,0.5484416850864646
51,2025-01-22,Facebook Ads,Summer Sale,Organic Search,email,Brand Awareness,217722,11159,4907.52,UK,0.051253433277298574,0.43978134241419486
52,2025-08-23,Facebook Ads,Product Launch,Unknown,social,Festive Offer,261914,19212,7514.44,Germany,0.07335232175446903,0.39113262544243177
53,2024-11-11,Instagram Ads,Brand Awareness,Facebook Ads,email,Summer Sale,452308,11843,8236.66,UK,0.026183485589465587,0.6954876298235244
54,2024-01-14,Facebook Ads,Festive Offer,Google Ads,email,Black Friday,310659,14188,9649.71,UK,0.04567065496251517,0.6801318015224133
55,2024-08-29,Instagram Ads,Summer Sale,Instagram Ads,email,Summer Sale,14998,3877,6274.63,Australia,0.2585011334844646,1.6184240392055713
56,2024-12-11,Organic Search,Product Launch,Email,organic,Summer Sale,31279,692,775.95,India,0.02212346942037789,1.1213150289017342
57,2025-07-18,Google Ads,Brand Awareness,Organic Search,email,Black Friday,261479,14072,5621.11,UK,0.05381694132224767,0.3994535247299602
58,2024-12-05,LinkedIn Ads,Brand Awareness,Unknown,social,Festive Offer,108370,866,5144.27,Australia,0.007991141459813602,5.94026558891455
59,2024-04-01,Organic Search,Campaign_XYZ,Facebook Ads,social,Summer Sale,328294,2241,669.88,UK,0.006826198468445966,0.2989201249442213
60,2025-01-01,LinkedIn Ads,Retargeting,Email,cpc,Brand Awareness,184168,2718,3132.39,Germany,0.014758264193562399,1.1524613686534215
61,2025-03-30,Email,Brand Awareness,Google Ads,organic,Retargeting,317099,11869,4180.56,UK,0.03742995089861526,0.3522251242733171
62,2025-03-03,Organic Search,Black Friday,Organic Search,social,Campaign_XYZ,444576,11833,1693.66,UK,0.02661637155402001,0.1431302290205358
63,2025-05-23,YouTube Ads,Unknown,Organic Search,social,Retargeting,447101,7609,186.74,Australia,0.017018526015374603,0.02454198974898147
64,2024-02-04,Facebook Ads,Summer Sale,Instagram Ads,organic,Summer Sale,99517,19806,7594.08,UK,0.1990212727473698,0.38342320508936684
65,2024-07-24,YouTube Ads,Summer Sale,Unknown,email,Festive Offer,489541,10172,8531.18,Australia,0.020778647753712153,0.8386924891860008
66,2024-03-21,Google Ads,Product Launch,LinkedIn Ads,social,Black Friday,146977,7058,2368.11,India,0.048021118950584106,0.3355213941626523
67,2025-07-15,LinkedIn Ads,Festive Offer,Organic Search,email,Product Launch,228546,8770,137.62,Australia,0.03837301899836357,0.015692132269099202
68,2025-01-22,Organic Search,Product Launch,Email,social,Festive Offer,457922,4112,8910.38,India,0.008979695231939065,2.166921206225681
69,2024-01-02,Google Ads,Black Friday,LinkedIn Ads,cpc,Summer Sale,275444,12676,1426.2,UK,0.046020243679295976,0.11251183338592616
70,2025-01-24,Google Ads,Festive Offer,Instagram Ads,email,Summer Sale,122254,11825,4091.97,India,0.09672485153859997,0.3460439746300211
71,2025-07-19,Facebook Ads,Campaign_XYZ,Instagram Ads,social,Product Launch,19202,7552,3723.07,USA,0.3932923653786064,0.49299126059322035
72,2024-04-15,Google Ads,Brand Awareness,Email,organic,Retargeting,201102,19234,1726.19,USA,0.09564300703125778,0.08974680253717376
73,2025-04-21,Organic Search,Product Launch,Facebook Ads,organic,Festive Offer,67021,17364,6028.22,Australia,0.259082973993226,0.34716770329417185
74,2025-12-03,Organic Search,Festive Offer,Organic Search,organic,Retargeting,368992,10840,9193.57,Germany,0.029377330673835748,0.8481153136531365
75,2025-02-05,LinkedIn Ads,Brand Awareness,Unknown,social,Campaign_XYZ,85935,4243,5185.86,UK,0.04937452725897481,1.2222154136224368
76,2025-12-30,Organic Search,Festive Offer,Google Ads,email,Product Launch,111219,12417,9731.83,USA,0.1116445931000998,0.7837505033421921
77,2025-07-09,YouTube Ads,Brand Awareness,Facebook Ads,cpc,Black Friday,168319,4433,1988.64,Germany,0.026336896012927834,0.4485991427926912
78,2024-06-10,LinkedIn Ads,Festive Offer,LinkedIn Ads,cpc,Campaign_XYZ,139001,11136,8500.17,Australia,0.08011453155013273,0.7633054956896552
79,2024-07-20,Facebook Ads,Product Launch,Google Ads,social,Summer Sale,46174,3200,2643.39,India,0.06930307099233335,0.8260593749999999
80,2024-09-26,LinkedIn Ads,Product Launch,Facebook Ads,social,Brand Awareness,160675,2627,2580.36,UK,0.01634977438929516,0.9822459078797108
81,2024-09-27,Instagram Ads,Black Friday,LinkedIn Ads,social,Retargeting,46967,4930,1265.15,India,0.10496731747822939,0.25662271805273834
82,2025-03-31,YouTube Ads,Campaign_XYZ,Unknown,email,Retargeting,383048,4355,8649.97,UK,0.011369332303001191,1.9862158438576347
83,2025-04-06,Instagram Ads,Campaign_XYZ,YouTube Ads,organic,Festive Offer,5937,15001,7278.08,USA,2.5266969850092638,0.4851729884674355
84,2025-12-27,Instagram Ads,Retargeting,Organic Search,email,Campaign_XYZ,99967,19582,3482.4,Germany,0.1958846419318375,0.17783678888775406
85,2024-09-08,Email,Summer Sale,Email,email,Campaign_XYZ,444391,12652,3559.23,Australia,0.028470423568434104,0.2813175782484983
86,2025-12-02,Organic Search,Product Launch,Email,social,Retargeting,498836,8110,8463.47,UK,0.016257848270774363,1.0435844636251541
87,2024-10-22,Facebook Ads,Product Launch,Email,cpc,Black Friday,79610,5176,9283.06,USA,0.06501695766863459,1.7934814528593508
88,2025-12-25,Google Ads,Brand Awareness,YouTube Ads,email,Product Launch,251202,18380,6064.02,Australia,0.07316820725949634,0.3299249183895539
89,2025-12-20,Instagram Ads,Retargeting,Organic Search,cpc,Black Friday,459988,13292,4127.71,UK,0.02889640599319982,0.31054092687330725
90,2024-12-03,LinkedIn Ads,Campaign_XYZ,Unknown,social,Retargeting,130960,1622,626.12,USA,0.012385461209529627,0.38601726263871766
91,2024-02-22,Google Ads,Product Launch,Organic Search,email,Festive Offer,286214,13873,1352.99,Australia,0.04847072470249533,0.0975268507172205
92,2024-08-04,LinkedIn Ads,Festive Offer,Unknown,organic,Summer Sale,405692,16633,1503.7,India,0.04099908304822378,0.09040461732700054
93,2024-07-06,LinkedIn Ads,Campaign_XYZ,Google Ads,organic,Retargeting,86263,18811,2840.35,Germany,0.21806568285359887,0.1509940991972782
94,2025-01-14,Google Ads,Retargeting,Facebook Ads,email,Summer Sale,367998,4118,2644.62,Germany,0.01119027820803374,0.6422098105876639
95,2025-05-07,Google Ads,Summer Sale,Instagram Ads,organic,Festive Offer,117813,8331,5474.53,India,0.07071375824399684,0.6571275957268035
96,2024-02-10,Organic Search,Festive Offer,Email,email,Summer Sale,375312,17024,9446.59,Germany,0.0453595941509997,0.5548983787593985
97,2024-06-05,LinkedIn Ads,Brand Awareness,Email,organic,Retargeting,446585,6248,8630.44,Germany,0.013990617687562278,1.3813124199743918
98,2024-01-15,Facebook Ads,Black Friday,Email,social,Retargeting,412555,8333,5140.71,UK,0.02019851898534741,0.6169098763950558
99,2024-03-05,Organic Search,Festive Offer,Instagram Ads,organic,Summer Sale,285683,11899,271.25,USA,0.04165106079115663,0.022796033280107573
100,2025-06-04,YouTube Ads,Campaign_XYZ,Google Ads,organic,Black Friday,189151,12398,777.15,India,0.06554551654498258,0.06268349733828037
101,2024-12-09,Email,Summer Sale,Google Ads,social,Black Friday,263372,10406,8617.47,USA,0.03951065413179837,0.8281251201230059
102,2024-05-08,YouTube Ads,Festive Offer,Instagram Ads,social,Festive Offer,317234,17023,2907.94,Germany,0.05366070471639232,0.170824179051871
103,2025-10-09,Facebook Ads,Retargeting,LinkedIn Ads,organic,Black Friday,350124,19748,3249.1,USA,0.056402874410208956,0.1645280534737695
104,2025-04-16,Organic Search,Retargeting,Email,cpc,Campaign_XYZ,66202,17219,1483.8,Australia,0.26009788223920727,0.08617225158255415
105,2024-03-03,Email,Summer Sale,Facebook Ads,cpc,Brand Awareness,225596,13435,2308.82,India,0.05955336087519282,0.17185113509490138
106,2024-05-18,Organic Search,Campaign_XYZ,Google Ads,email,Summer Sale,24199,12358,2547.16,India,0.510682259597504,0.2061142579705454
107,2025-05-13,Google Ads,Retargeting,Organic Search,organic,Brand Awareness,475844,10130,4179.73,India,0.02128848950496381,0.41260908193484697
108,2025-08-15,Email,Festive Offer,Instagram Ads,email,Brand Awareness,364334,4095,6269.14,UK,0.011239686661140601,1.530925518925519
109,2025-01-26,LinkedIn Ads,Black Friday,LinkedIn Ads,social,Campaign_XYZ,275595,17611,3596.25,USA,0.0639017398719135,0.20420475838964283
110,2025-11-05,YouTube Ads,Festive Offer,YouTube Ads,organic,Summer Sale,80527,1327,4553.65,USA,0.016478944950140947,3.4315373021853803
111,2025-02-22,Email,Black Friday,Instagram Ads,social,Brand Awareness,275813,3015,1900.81,UK,0.010931319408439777,0.6304510779436152
112,2024-10-15,LinkedIn Ads,Retargeting,Organic Search,organic,Festive Offer,466626,8543,658.26,India,0.01830802398494726,0.07705255764953763
113,2025-01-13,Organic Search,Festive Offer,LinkedIn Ads,organic,Festive Offer,489005,2394,3547.58,UK,0.004895655463645566,1.481862990810359
114,2025-05-04,Facebook Ads,Retargeting,YouTube Ads,social,Summer Sale,194957,7708,718.67,UK,0.03953692352672641,0.09323689673066943
115,2024-08-18,Email,Campaign_XYZ,LinkedIn Ads,organic,Product Launch,156061,13110,3067.23,Germany,0.08400561318971428,0.23396109839816934
116,2024-02-10,LinkedIn Ads,Black Friday,Google Ads,organic,Product Launch,347883,5213,8392.23,India,0.014984923091959078,1.609865720314598
117,2024-01-28,Organic Search,Campaign_XYZ,Instagram Ads,email,Campaign_XYZ,462741,19649,3732.62,Australia,0.042462198076245676,0.18996488370909462
118,2024-05-14,Organic Search,Retargeting,Organic Search,social,Summer Sale,108582,8237,2013.29,Germany,0.07585971892210495,0.24442029865242199
119,2024-07-19,Organic Search,Product Launch,YouTube Ads,cpc,Summer Sale,466890,12756,9030.47,India,0.02732121056351603,0.7079390090937597
120,2024-02-02,Facebook Ads,Brand Awareness,LinkedIn Ads,cpc,Summer Sale,166833,16495,6429.56,India,0.0988713264162366,0.38978842073355563
121,2024-02-17,Google Ads,Festive Offer,YouTube Ads,organic,Black Friday,226525,907,9883.69,India,0.004003973071404922,10.897122381477399
122,2025-05-17,Facebook Ads,Product Launch,Facebook Ads,email,Summer Sale,167885,17774,3072.49,USA,0.10587008964469727,0.1728642961629346
123,2025-02-10,Facebook Ads,Campaign_XYZ,Organic Search,organic,Festive Offer,465945,13033,2083.65,India,0.027971112470355945,0.15987493286273308
124,2025-07-27,YouTube Ads,Retargeting,Instagram Ads,email,Festive Offer,279301,17408,3049.61,India,0.062327023533750324,0.1751843979779412
125,2025-12-28,Organic Search,Retargeting,Google Ads,organic,Retargeting,118993,4687,8143.67,Australia,0.03938887161429664,1.737501600170685
126,2024-04-08,LinkedIn Ads,Brand Awareness,YouTube Ads,cpc,Product Launch,478128,19737,1600.13,India,0.04127974098986045,0.08107260475249532
127,2025-11-14,Email,Retargeting,Email,social,Product Launch,86519,18145,2486.68,UK,0.20972271986500074,0.13704491595480847
128,2025-12-26,YouTube Ads,Brand Awareness,LinkedIn Ads,email,Campaign_XYZ,244635,17223,7046.17,India,0.07040284505487768,0.40911397549788076
129,2025-06-30,Organic Search,Unknown,Email,organic,Summer Sale,315883,630,7406.2,India,0.0019944093224390043,11.755873015873016
130,2025-09-04,Instagram Ads,Black Friday,YouTube Ads,organic,Product Launch,231681,8593,9592.53,India,0.0370897915668527,1.1163190969393693
131,2025-04-06,Facebook Ads,Brand Awareness,Organic Search,email,Summer Sale,327300,2352,9803.5,USA,0.007186067827681027,4.168154761904762
132,2025-10-04,Instagram Ads,Brand Awareness,Email,email,Summer Sale,89283,1123,6668.96,Germany,0.012577982370664069,5.938521816562778
133,2024-01-05,Organic Search,Product Launch,LinkedIn Ads,cpc,Product Launch,32626,10273,3691.67,USA,0.3148715748176301,0.35935656575489144
134,2024-08-05,YouTube Ads,Unknown,YouTube Ads,email,Product Launch,235843,7611,4584.84,Australia,0.03227146873131702,0.602396531336224
135,2025-05-17,LinkedIn Ads,Festive Offer,Google Ads,organic,Retargeting,398675,12610,4448.75,Australia,0.03162977362513325,0.35279540047581287
136,2025-02-01,YouTube Ads,Black Friday,Google Ads,cpc,Campaign_XYZ,333767,18316,3935.04,UK,0.05487660553619741,0.21484166848656913
137,2025-01-27,LinkedIn Ads,Unknown,Instagram Ads,cpc,Brand Awareness,182143,4395,3448.63,UK,0.024129392839691892,0.7846712172923778
138,2024-07-25,LinkedIn Ads,Campaign_XYZ,Google Ads,social,Retargeting,278042,17694,1762.21,Australia,0.06363786766028154,0.09959364756414604
139,2024-01-15,Organic Search,Brand Awareness,YouTube Ads,social,Retargeting,42001,7097,3724.97,Germany,0.1689721673293493,0.5248654360997604
140,2025-07-07,Google Ads,Summer Sale,Organic Search,social,Product Launch,277902,281,9695.37,Germany,0.0010111478146972673,34.503096085409254
141,2025-04-05,Organic Search,Retargeting,Unknown,email,Campaign_XYZ,441454,14813,8833.35,Australia,0.03355502498561572,0.5963241747114022
142,2025-11-21,Facebook Ads,Unknown,Google Ads,cpc,Festive Offer,409337,9198,6211.53,India,0.022470482756261956,0.6753131115459883
143,2025-07-28,YouTube Ads,Brand Awareness,Facebook Ads,email,Campaign_XYZ,215274,4779,2008.78,USA,0.022199615373895594,0.4203347980749111
144,2024-08-28,LinkedIn Ads,Summer Sale,Unknown,cpc,Retargeting,178342,9336,8798.78,USA,0.052348857812517524,0.9424571550985433
145,2025-07-17,Organic Search,Product Launch,Instagram Ads,organic,Festive Offer,229607,12171,3187.47,India,0.053007965785015265,0.2618905595267439
146,2024-04-05,Organic Search,Summer Sale,Facebook Ads,email,Product Launch,442067,19970,5502.58,Germany,0.04517414781017357,0.2755423134702053
147,2025-04-29,YouTube Ads,Campaign_XYZ,Google Ads,cpc,Black Friday,192981,19926,9126.77,USA,0.10325368818691996,0.45803322292482185
148,2025-02-10,YouTube Ads,Product Launch,Organic Search,social,Summer Sale,443131,17736,3413.43,USA,0.040024281758667304,0.19245771312584573
149,2024-08-18,LinkedIn Ads,Campaign_XYZ,LinkedIn Ads,social,Brand Awareness,312137,4364,9142.09,UK,0.013981040376501344,2.0948877176901926
150,2025-10-16,Email,Unknown,YouTube Ads,organic,Festive Offer,236485,16740,2427.77,Germany,0.07078673065944986,0.14502807646356033
151,2024-06-19,Instagram Ads,Retargeting,LinkedIn Ads,email,Black Friday,35888,10265,9294.16,Australia,0.2860287561301828,0.9054223088163663
152,2025-06-24,Facebook Ads,Festive Offer,Email,cpc,Festive Offer,241713,3524,3650.79,Australia,0.014579273766822637,1.0359790011350738
153,2024-02-05,Facebook Ads,Summer Sale,Instagram Ads,social,Summer Sale,487010,15308,3808.55,India,0.03143261945339931,0.24879474784426445
154,2025-06-08,Email,Brand Awareness,Facebook Ads,cpc,Summer Sale,14893,14154,5574.78,USA,0.9503793728597327,0.39386604493429417
155,2024-06-08,Google Ads,Campaign_XYZ,LinkedIn Ads,email,Campaign_XYZ,87416,17836,3535.56,Australia,0.2040358744394619,0.19822605965463108
156,2025-11-29,Email,Campaign_XYZ,Instagram Ads,social,Brand Awareness,118838,13998,4554.83,India,0.11779060569851395,0.3253914844977854
157,2024-08-30,Google Ads,Retargeting,LinkedIn Ads,organic,Retargeting,163784,11640,5063.11,UK,0.0710692131099497,0.43497508591065287
158,2024-03-26,Google Ads,Summer Sale,LinkedIn Ads,organic,Summer Sale,30943,18551,4961.09,Germany,0.5995217011925152,0.26742978815158214
159,2025-07-31,Email,Brand Awareness,Instagram Ads,email,Brand Awareness,268450,16841,9614.98,USA,0.06273421493760477,0.5709269045781129
160,2025-11-12,Facebook Ads,Brand Awareness,YouTube Ads,email,Festive Offer,66461,5730,2889.71,USA,0.08621597628684492,0.5043123909249564
161,2025-07-10,Instagram Ads,Campaign_XYZ,LinkedIn Ads,cpc,Festive Offer,488052,14904,2917.34,India,0.030537729586191636,0.19574208266237253
162,2025-07-27,Facebook Ads,Festive Offer,Instagram Ads,organic,Festive Offer,117521,12943,8395.42,USA,0.11013350805387974,0.6486455999381905
163,2025-10-07,Organic Search,Campaign_XYZ,LinkedIn Ads,email,Campaign_XYZ,418323,5553,3980.89,Germany,0.01327443147998078,0.7168899693859175
164,2024-01-28,Facebook Ads,Festive Offer,Organic Search,email,Festive Offer,236254,6274,824.65,Australia,0.026556164128438038,0.13143927319094675
165,2025-09-11,Facebook Ads,Campaign_XYZ,YouTube Ads,organic,Festive Offer,404925,7655,4864.41,India,0.018904735444835463,0.6354552580013063
166,2025-07-09,Email,Campaign_XYZ,Organic Search,cpc,Product Launch,262967,18526,5547.27,Germany,0.07044990436062319,0.2994316096297096
167,2024-12-05,Email,Brand Awareness,Organic Search,cpc,Summer Sale,99017,16570,6215.16,USA,0.16734500136340225,0.37508509354254677
168,2024-11-26,Organic Search,Festive Offer,Instagram Ads,organic,Campaign_XYZ,146986,11112,2427.42,Australia,0.07559903664294558,0.21845032397408207
169,2025-10-01,Organic Search,Brand Awareness,Organic Search,organic,Summer Sale,97711,9220,9735.27,Germany,0.09435989806674785,1.0558861171366596
170,2025-05-20,Email,Summer Sale,Unknown,organic,Retargeting,393467,13157,7396.48,Australia,0.03343863653114493,0.5621707076081173
171,2024-12-13,Facebook Ads,Campaign_XYZ,Google Ads,organic,Campaign_XYZ,291556,1534,7229.39,Australia,0.005261424906364472,4.712770534550196
172,2025-04-17,Instagram Ads,Unknown,YouTube Ads,organic,Retargeting,328470,19810,8741.44,India,0.06030992175845587,0.44126400807672894
173,2024-08-18,Google Ads,Festive Offer,LinkedIn Ads,email,Campaign_XYZ,17151,6376,358.66,USA,0.37175674887761645,0.05625156838143037
174,2024-07-08,YouTube Ads,Product Launch,Facebook Ads,social,Product Launch,327834,516,6170.11,UK,0.0015739673127253427,11.957577519379845
175,2024-08-12,Google Ads,Unknown,Instagram Ads,organic,Summer Sale,399225,4983,8196.59,UK,0.012481683261318805,1.64491069636765
176,2025-01-19,Organic Search,Product Launch,LinkedIn Ads,social,Campaign_XYZ,348926,14589,440.3,UK,0.041811157666668576,0.03018027280828021
177,2025-01-11,Organic Search,Black Friday,YouTube Ads,cpc,Retargeting,312424,1024,7585.84,Germany,0.0032775971116175452,7.408046875
178,2024-10-09,Google Ads,Brand Awareness,Organic Search,email,Campaign_XYZ,324962,12960,9898.0,UK,0.039881586154688856,0.7637345679012346
179,2025-09-24,YouTube Ads,Brand Awareness,YouTube Ads,social,Brand Awareness,192602,5237,5974.76,USA,0.027190787219239676,1.1408745464960857
180,2025-09-19,Facebook Ads,Retargeting,Facebook Ads,cpc,Festive Offer,395561,7062,4304.45,UK,0.017853125055301206,0.6095227980742
181,2024-09-15,Instagram Ads,Product Launch,Organic Search,cpc,Festive Offer,470380,14071,4590.72,Australia,0.029914111994557593,0.3262539975836828
182,2024-12-24,Instagram Ads,Product Launch,Unknown,cpc,Summer Sale,128439,2701,6826.86,Australia,0.02102943809901977,2.527530544242873
183,2025-12-10,Google Ads,Brand Awareness,Email,organic,Festive Offer,123057,18233,5742.56,Australia,0.14816710955085854,0.31495420391597656
184,2025-03-31,YouTube Ads,Product Launch,Email,email,Festive Offer,40900,15013,7896.95,UK,0.36706601466992667,0.526007460201159
185,2025-02-14,Organic Search,Brand Awareness,LinkedIn Ads,cpc,Brand Awareness,349706,17449,4274.21,USA,0.04989619852104339,0.24495443864977937
186,2025-10-10,LinkedIn Ads,Campaign_XYZ,Google Ads,organic,Black Friday,30289,6288,4231.51,USA,0.20760011885502988,0.6729500636132316
187,2024-11-13,Facebook Ads,Campaign_XYZ,Organic Search,social,Product Launch,423648,15182,7485.06,UK,0.03583635470957021,0.4930219997365301
188,2025-11-07,Google Ads,Brand Awareness,YouTube Ads,email,Retargeting,348287,9698,6490.63,USA,0.027844852090373743,0.6692751082697463
189,2024-08-12,Instagram Ads,Festive Offer,Google Ads,social,Black Friday,327284,16070,7803.17,UK,0.04910108651813104,0.4855737398879901
190,2024-08-21,Organic Search,Brand Awareness,Organic Search,social,Retargeting,151932,8610,8882.92,USA,0.05667008925045415,1.031698025551684
191,2025-11-14,Email,Summer Sale,Organic Search,organic,Black Friday,268241,6097,2707.72,India,0.022729560358036242,0.4441069378382811
192,2025-10-25,Email,Summer Sale,Organic Search,social,Festive Offer,421330,6639,3218.86,India,0.015757244914912302,0.4848410905256816
193,2025-01-08,YouTube Ads,Summer Sale,Organic Search,email,Retargeting,192270,14708,5316.81,USA,0.07649659333229313,0.36149102529235794
194,2025-11-02,YouTube Ads,Summer Sale,Google Ads,social,Product Launch,407689,15015,9311.48,Australia,0.03682954408875393,0.6201451881451882
